Date,Open,High,Low,Close,Volume,Stock,Ticker,Sector,Year,Month,Month_Name,Quarter,Daily_return,Volatility_30D
2020-04-24,772.2088386463486,779.8346251864367,764.5252832221665,770.8223266601562,6330770,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-0.6034162921533137,4.0243781752081595
2020-04-27,770.8224060453692,782.8195881999,761.6271619778048,766.4895629882812,5624485,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-0.5620962862671774,3.9513762848321647
2020-04-28,776.0603008327345,777.2542303542217,749.4951339078731,760.6065063476562,4305840,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-0.767532517688696,3.926451266207248
2020-04-29,760.606396275064,764.505942540734,745.7399307595747,747.3093872070312,5198230,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-1.7482257947642577,3.7978148977788844
2020-04-30,757.400177817915,788.3366802747427,750.0728732817438,758.0164184570312,10890150,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,1.4327441128521246,3.798247363138274
2020-05-04,741.3975276810088,771.4385821146585,741.0509143697753,758.5363159179688,7077435,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.06858656993153911,3.758003811121198
2020-05-05,766.4316176711727,767.654460791537,732.9243174964214,738.2970581054688,3978630,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-2.6681989230808,3.7896860044585106
2020-05-06,741.5901228542077,747.1746640016629,732.7414927171817,741.8789672851562,4779515,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.4851582625669648,3.6635967334274198
2020-05-07,752.7399552778321,758.0645068217719,735.3411781341694,739.019287109375,4581335,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-0.3854645167049253,3.6352333700549684
2020-05-08,751.0453076690989,795.7409686441898,751.0453076690989,767.2019653320312,10017290,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,3.8135240465632325,3.2455753444321687
2020-05-11,766.0081072995217,766.0081072995217,741.0220348523039,743.7084350585938,5974940,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-3.06223541323567,3.1727399516994397
2020-05-12,743.9394844131541,752.8747384423345,723.9024962157159,726.6466064453125,5392485,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-2.294155586918556,3.208573022427041
2020-05-13,741.2049321813824,741.2049321813824,719.2711505520402,727.8405151367188,4392175,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.16430389694472858,3.2027758358129192
2020-05-14,729.843338361265,735.6108244686629,716.0937549128113,718.6742553710938,4485705,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-1.25937751128119,3.2271416778059585
2020-05-15,721.3702549791136,727.7058509862262,715.795292503405,719.271240234375,4496935,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.08306751756024244,3.210121375605734
2020-05-18,724.0950092655058,724.5571603079206,695.9218962022439,708.4967651367188,4954380,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-1.4979710705721239,3.2200348729660178
2020-05-19,712.540834086009,716.748501129887,704.8283645733078,712.4348754882812,4677020,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.5558402727219969,3.1519363967334506
2020-05-20,716.5366002331527,756.8031569327984,711.1927729015277,752.990234375,21083545,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,5.692500505245945,3.271651216879138
2020-05-21,760.6547069487593,761.4538922731107,736.6796173618028,740.9161987304688,8672120,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-1.6034783843581923,3.297173192208828
2020-05-22,739.5873951030972,752.9518130593456,733.887315991227,749.6492309570312,5052550,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,1.178680158636869,2.175873602094929
2020-05-26,750.8334534806332,758.536284619225,742.0618686258671,744.1512451171875,4136880,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,-0.7334077876428702,2.1316347921743817
